Identifier ,objectid,object_location,,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
1920railcar,jrhp_015,/objects/1920railcar.jpg,Rail Car,,,1920,yes,Image/JPG,photo,image,Railcar,Black and White Photo of men on a Rail car,/objects/small/1920railcar_sm.jpg,/objects/thumbs/1920railcar_th.jpg,
winklerbio,jrhp_016,/objects/winklerbio.png,"George Winkler, the Poet Prospector",,,1908,yes,Image/PNG,photo,image,George Winkler; Prospector; Mining,"Screenshot of Royal BC Museum Entry on George Winkler, with brief biography and black and white photograph of the man himself",/objects/small/winklerbio_sm.jpg,/objects/thumbs/winklerbio_th.jpg,
rcbmhydroflume,jrhp_017,/objects/rcbmhydroflume.png,The dam at the Jordan River,,,1919,yes,Image/PNG,photo,image,Hydroelectric; Dam,Black and White photo of the dam in construction,/objects/small/rcbmhydroflume_sm.jpg,/objects/thumbs/rcbmhydroflume_th.jpg,
rmcbhsunloch1919rail1,jrhp_018,/objects/rmcbhsunloch1919rail1.png,Rail line near Sunloch Mine,,,1919,yes,Image/PNG,photo,image,Mining; Sunloch Mines Ltd.,Black and White photo of rail line,/objects/small/rmcbhsunloch1919rail1_sm.jpg,/objects/thumbs/rmcbhsunloch1919rail1_th.jpg,
rmcbhsunloch1919rail2,jrhp_019,/objects/rmcbhsunloch1919rail2.png,Rail line near Sunloch Mine 2,,,1919,yes,Image/PNG,photo,image,Mining; Sunloch Mines Ltd.,Black and White photo of rail line,/objects/small/rmcbhsunloch1919rail2_sm.jpg,/objects/thumbs/rmcbhsunloch1919rail2_th.jpg,
rmcbhsunloch1919rail3,jrhp_020,/objects/rmcbhsunloch1919rail3.png,Rail line near Sunloch Mine 3,,,1919,yes,Image/PNG,photo,image,Mining; Sunloch Mines Ltd.,Black and White photo of rail line,/objects/small/rmcbhsunloch1919rail3_sm.jpg,/objects/thumbs/rmcbhsunloch1919rail3_th.jpg,
1920powerhousejr,jrhp_021,/objects/1920powerhousejr.jpg,Powerhouse at Jordan River 1920,,,1920,yes,Image/JPG,photo,image,Hydroelectric,Black and White photo of powerhouse,/objects/small/1920powerhousejr_sm.jpg,/objects/thumbs/1920powerhousejr_th.jpg,
1930sjordanriveranddam,jrhp_022,/objects/1930sjordanriveranddam.jpg,Camp 2 at Jordan River and Dam 1930's,,,1930,yes,Image/JPG,photo,image,Forestry; Settlement; Dam; Settlement,Black and White photo of a camp adjacent to the dam,/objects/small/1930sjordanriveranddam_sm.jpg,/objects/thumbs/1930sjordanriveranddam_th.jpg,
1920jrsunlockmines,jrhp_023,/objects/1920jrsunlockmines.jpg,Jordan River Miner in the 1920s,,,1920,yes,Image/JPG,photo,image,Mining,Black and White photo of a miner,/objects/small/1920jrsunlockmines_sm.jpg,/objects/thumbs/1920jrsunlockmines_th.jpg,
1945_48jrcommunityhal,jrhp_024,/objects/1945_48jrcommunityhall.jpg,Jordan River Community Hall 1945-48,,,1940,yes,Image/JPG,photo,image,Settlement,Black and White photo of the community hall,/objects/small/1945_48jrcommunityhal_sm.jpg,/objects/thumbs/1945_48jrcommunityhal_th.jpg,
1926jrpowerhouse,jrhp_025,/objects/1926jrpowerhouse.jpg,Jordan River Powerhouse 1926,,,1926,yes,Image/JPG,photo,image,Hydroelectric,Black and White photo of powerhouse,/objects/small/1926jrpowerhouse_sm.jpg,/objects/thumbs/1926jrpowerhouse_th.jpg,
clearingwherepowerhousewasbuiltjordanriver1908,jrhp_026,/objects/clearingwherepowerhousewasbuiltjordanriver1908.jpg,Clearing where powerhouse was built,,,1908,yes,Image/JPG,photo,image,Hydroelectric ,Black and White photo of cleared field adjacent to dam,/objects/small/clearingwherepowerhousewasbuiltjordanriver1908_sm.jpg,/objects/thumbs/clearingwherepowerhousewasbuiltjordanriver1908_th.jpg,
1904viewjr,jrhp_026.5,/objects/1904viewjr.jpg,View of the Jordan River 1904,,,1904,yes,Image/JPG,photo,image,,,/objects/small/1904viewjr_sm.jpg,/objects/thumbs/1904viewjr_th.jpg,
telegraphhutjr,jrhp_027,/objects/telegraphhutjr.jpg,Telegraph Hut,,,,,Image/JPG,photo,image,,Black and White photo the Jordan River,/objects/small/telegraphhutjr_sm.jpg,/objects/thumbs/telegraphhutjr_th.jpg,
1919mandrillingrock,jrhp_028,/objects/1919mandrillingrock.png,Man Drilling a Rock ,,,1917,yes,Image/JPG,photo,image,Mining,Black and White photo the Jordan River Homes,/objects/small/1919mandrillingrock_sm.jpg,/objects/thumbs/1919mandrillingrock_th.jpg,
homesatjr,jrhp_029,/objects/homesatjr.jpg,Homes of the Jordan River 1920's ,,,1920,yes,Image/JPG,photo,image,Settlement,Black and White photo of a man drilling a rock,/objects/small/homesatjr_sm.jpg,/objects/thumbs/homesatjr_th.jpg,
1911rivermouth,jrhp_030,/objects/1911rivermouth.jpg,River Mouth 1911,,,1911,yes,Image/JPG,photo,image,,Black and White photo the Jordan River,/objects/small/1911rivermouth_sm.jpg,/objects/thumbs/1911rivermouth_th.jpg,
1900_1910jrdock,jrhp_031,/objects/1900_1910jrdock.pdf,Dock and Straights 1900-1910,,,1900,yes,Image/JPG,photo,image,Settlement,Screenshot of the University of British Columbia ,/objects/small/1900_1910jrdock_sm.jpg,/objects/thumbs/1900_1910jrdock_th.jpg,
,,,,,,,,,,,,,,,
1983ethnobotany_nancyturner,jrhfn_001,/objects/1983ethnobotany_nancyturner.pdf,"Ethnobotany of the
Nitinaht Indians of Vancouver Island",,,1983,yes,application/pdf,Book,pdf,Ethnobotany; Plants; Indigenous; First Nations; Biology,,/objects/small/1983ethnobotany_nancyturner_sm.jpg,/objects/thumbs/1983ethnobotany_nancyturner_th.jpg,
2022canadawateragencyvirtualdialogu,jrhfn_002,/objects/2022canadawateragencyvirtualdialogue.pdf,Water Dialogue Series: Canada Water Agency What We Heard Report,BC Assembly of First Nations,BC Assembly of First Nations,2022-07-01,yes,application/pdf,Report,pdf,Advocacy; Canada Water Agency; First Nations,,/objects/small/2022canadawateragencyvirtualdialogu_sm.jpg,/objects/thumbs/2022canadawateragencyvirtualdialogu_th.jpg,
2022bc_firstnationstoappealnechakorivercourtruling,jrhfn_003,/objects/2022bc_firstnationstoappealnechakorivercourtruling.pdf,"B.C. First Nations plan to appeal ruling to
restore natural river flows 70 years later",CTV News Vancouver,CTV News Vancouver,2022-02-04,,application/pdf,News Article,pdf,Legal Case; River Diversion; First Nations; Advocacy; Salmon,,/objects/small/2022bc_firstnationstoappealnechakorivercourtruling_sm.jpg,/objects/thumbs/2022bc_firstnationstoappealnechakorivercourtruling_th.jpg,
ditidahtandpacheedaht2019treatyagreementinprinciple,jrhfn_004,/objects/ditidahtandpacheedaht2019treatyagreementinprinciple.pdf,Ditidaht & Pacheedaht Agreement in Principle - Treaty,,,2019-06-28,,application/pdf,Treaty Document,pdf,First Nations; Treaty,,/objects/small/ditidahtandpacheedaht2019treatyagreementinprinciple_sm.jpg,/objects/thumbs/ditidahtandpacheedaht2019treatyagreementinprinciple_th.jpg,
2020caseforaguardiannetwork,jrhfn_005,/objects/2020caseforaguardiannetwork.pdf,Case for a Guardian Network Initiative ,BC First Nations Energy and Mining Council and UVic Environmental Centre,Environmental Law Centre University of Canada,2020-07-01,,application/pdf,Advocacy Report,pdf,First Nations; Guardian Programs; Conservation,,/objects/small/2020caseforaguardiannetwork_sm.jpg,/objects/thumbs/2020caseforaguardiannetwork_th.jpg,
siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation,jrhfn_006,/objects/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation.pdf,Step into the River: A Framework for Economic Reconciliation,Sxwpilemaát Siyám and Lily Raphael,,2022,yes,application/pdf,Advocacy Report,pdf,First Nations; Justice,,/objects/small/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation_sm.jpg,/objects/thumbs/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation_th.jpg,
2001jordanriverhistoricalsalmonidsurvey,jrhfn_007,/objects/2001jordanriverhistoricalsalmonidsurvey.pdf,Jordan River Historical Salmond Survey ,RRL Recreation Resources Limited ,RRL Recreation Resources Limited ,2001-1,yes,application/pdf,Public Survey ,pdf,Salmon; BC Hydro;,Survey of public anecdotal knowledge knowledge of salmon conditions pre- 1971,/objects/small/2001jordanriverhistoricalsalmonidsurvey_sm.jpg,/objects/thumbs/2001jordanriverhistoricalsalmonidsurvey_th.jpg,
reviewoffirstnationresources,jrhfn_008,/objects/reviewoffirstnationresources.pdf,Review of the Ethnographic and Historical Resources: T'Sou-ke and Pacheedaht First Nations,Ministry of Attorney General Legal Services Branch ,,2008-10-20,,application/pdf,Research,pdf,First Nations; Land Use; Sooke; Pacheedaht ,,/objects/small/reviewoffirstnationresources_sm.jpg,/objects/thumbs/reviewoffirstnationresources_th.jpg,
plummer2018pacheedahtreflectontheiroriginsinhashilthsa,jrhfn_009,/objects/plummer2018pacheedahtreflectontheiroriginsinhashilthsa.pdf,"A sacred rattle, a fleeing tribe, an eagle eating a sockeye: Pacheedaht reflect on their origins and future with recent land purchase",Eric Plumber,Ha-Shilth-Sa,,,application/pdf,News Article,pdf,Hydroelectric; Land Use; Pacheedaht; BC Hydro,Ceremony Description in relation to Pacheedaht buying historic lands from BC Hydro  ,/objects/small/plummer2018pacheedahtreflectontheiroriginsinhashilthsa_sm.jpg,/objects/thumbs/plummer2018pacheedahtreflectontheiroriginsinhashilthsa_th.jpg,
pnf2017lup_newsletter,jrhfn_010,/objects/pnf2017lup_newsletter.pdf,Pacheedaht First Nation Newsletter,Pamela Jones Kristine Pearson,Pacheedaht First Nation ,2017-10-1,,application/pdf,Newsletter,pdf,First Nations; Land Use; Pacheedaht ,Pacheedaht First Nation Newsletter Land Use Planning,/objects/small/pnf2017lup_newsletter_sm.jpg,/objects/thumbs/pnf2017lup_newsletter_th.jpg,
mcletla07Apr2016,jrhfn_011,/objects/mcletla07Apr2016.pdf,Site C Project Tripartite Land Agreement,,,2016-04-07,,application/pdf,Land Use Agreement,pdf,Land Agreement; BC Hydro; Land Use; Hydroelectric; Mcleod Lake Indian Band,,/objects/small/mcletla07Apr2016_sm.jpg,/objects/thumbs/mcletla07Apr2016_th.jpg,
2017pacheedahttraditionaluseandoccupancystudyreport,jrhfn_013,/objects/2017pacheedahttraditionaluseandoccupancystudyreport.pdf,Pacheedaht First Nation Traditional Use and Occupancy Study Report for Port Metro Vancouver Roberts Bank Terminal 2 Project!,"Pacheedaht Heritage Project, Pacheedaht First Nation Treaty Department",,2015-09-23,,application/pdf,Land Use Study,pdf,Pacheedaht; Land Use; History; Survey,"This report presents information about the Pacheedaht First Nation related to their
aboriginal interests (rights and title) and traditional use and current use of lands, waters
and resources, as related to the Port Metro Vancouver Roberts Bank Terminal 2 Project.
The report has been prepared with consideration of the “Updated Guidelines for the
Preparation of an Environmental Impact Statement, Pursuant to the Canadian
Environmental Assessment Act, 2012 for the Roberts Bank Terminal 2 Project proposed
by Port Metro Vancouver” (RBT2 EIS) dated April 17, 2015. It has also based on topics
and formatting requested by Port Metro Vancouver representatives.",/objects/small/2017pacheedahttraditionaluseandoccupancystudyreport_sm.jpg,/objects/thumbs/2017pacheedahttraditionaluseandoccupancystudyreport_th.jpg,
ita_pacheedaht,jrhfn_014,/objects/ita_pacheedaht.pdf,Pacheedaht First Nation Incremental Treaty Agreement,,,2013-03-26,,application/pdf,Treaty Document,pdf,Pacheedaht,,/objects/small/ita_pacheedaht_sm.jpg,/objects/thumbs/ita_pacheedaht_th.jpg,
firstnationrefs,jrhfn_015,/objects/firstnationrefs.pdf,Bibliography - Review of the Ethnographic and Historical Resources: T'Sou-ke and Pacheedaht First Nations,Ministry of Attorney General Legal Services Branch ,,2008-10-20,,application/pdf,Bibliography,pdf,First Nations,,/objects/small/firstnationrefs_sm.jpg,/objects/thumbs/firstnationrefs_th.jpg,
ebarsky_mckechnie,jrhfn_016,/objects/ebarsky_mckechnie.pdf,"Indigenous Oral History and Settlement Archaeology in Barkley Sound, Western Vancouver Island",Iain McKechnie,BC Studies,2015,yes,application/pdf,Study,pdf,First Nations; Oral History,,/objects/small/ebarsky_mckechnie_sm.jpg,/objects/thumbs/ebarsky_mckechnie_th.jpg,
bcclamgardenrestorationrevivesmillenniaoldfirstnationfoodsource_sookenewsmirror,jrhfn_017,/objects/bcclamgardenrestorationrevivesmillenniaoldfirstnationfoodsource_sookenewsmirror.pdf,B.C. clam garden restoration revives millennia-old First Nation food source,Alistair Taylor,Sooke News Mirror,2024-09-21,,application/pdf,News Article,pdf,Clam Garden; First Nations; Food Systems,,/objects/small/bcclamgardenrestorationrevivesmillenniaoldfirstnationfoodsource_sookenewsmirror_sm.jpg,/objects/thumbs/bcclamgardenrestorationrevivesmillenniaoldfirstnationfoodsource_sookenewsmirror_th.jpg,
highlightsfromtheancientfishtrapstudy_projectwatershed,jrhfn_018,/objects/highlightsfromtheancientfishtrapstudy_projectwatershed.pdf,Highlights from the Ancient Fish Trap Study,,Project Watershed,,,application/pdf,Web Page,pdf,Fish Traps; First Nations; Food Systems,,/objects/small/highlightsfromtheancientfishtrapstudy_projectwatershed_sm.jpg,/objects/thumbs/highlightsfromtheancientfishtrapstudy_projectwatershed_th.jpg,
selkirk2021anunderwatermysteryoncanada'scoastinbbctravel,jrhfn_019,/objects/selkirk2021anunderwatermysteryoncanada'scoastinbbctravel.pdf,An underwater mystery on Canada's coast,Diane Selkirk,BBC,2021-10-14,,application/pdf,News Article,pdf,Clam Garden; First Nations; Food Systems,,/objects/small/selkirk2021anunderwatermysteryoncanada'scoastinbbctravel_sm.jpg,/objects/thumbs/selkirk2021anunderwatermysteryoncanada'scoastinbbctravel_th.jpg,
stepintotheriveracknowledgments,jrhfn_020,/objects/stepintotheriveracknowledgments.png,Step into the River: A Framework for Economic Reconciliation,Sxwpilemaát Siyám and Lily Raphael,,2022,yes,application/pdf,Advocacy Report,pdf,First Nations; Justice,,/objects/small/stepintotheriveracknowledgments_sm.jpg,/objects/thumbs/stepintotheriveracknowledgments_th.jpg,
,,,,,,,,,,,,,/objects/small/_sm.jpg,/objects/thumbs/_th.jpg,
jrdc1936littlerillsandwatersumberless,jrhs_001,/objects/jrdc1936littlerillsandwatersumberless.pdf,Little Rills and Waters Numberless,,The Daily Colonist,1939-05-31,,application/pdf,News Article,pdf,"Biology; Plants; Fossils, Settler",Sunro Mine Enterance,/objects/small/jrdc1936littlerillsandwatersumberless_sm.jpg,/objects/thumbs/jrdc1936littlerillsandwatersumberless_th.jpg,
jr1962provincejranenchantingplace,jrhs_002,/objects/jr1962provincejranenchantingplace.pdf,Jordan River Enchanting Place,Donald Stainsby,The Province,1967-19-02,,application/pdf,News Article,pdf,Mining; Settler,Advertisement for the town,/objects/small/jr1962provincejranenchantingplace_sm.jpg,/objects/thumbs/jr1962provincejranenchantingplace_th.jpg,
peers2014thefamilythatbuiltjordanriverinsookenewsmirror,jrhs_003,/objects/peers2014thefamilythatbuiltjordanriverinsookenewsmirror.pdf,Jordan River drew attention in 1923,Elida Peers ,Sooke News Mirror,2007-08-31,,application/pdf,News Article,pdf,Settlement; Hydroelectric,,/objects/small/peers2014thefamilythatbuiltjordanriverinsookenewsmirror_sm.jpg,/objects/thumbs/peers2014thefamilythatbuiltjordanriverinsookenewsmirror_th.jpg,
peers2015jordanriverdamworryrevisitedinsookenewsmirror,jrhs_004,/objects/peers2015jordanriverdamworryrevisitedinsookenewsmirror.pdf,The family that built Jordan River,Elida Peers,Sooke News Mirror,2014-03-12,,application/pdf,News Article,pdf,Settlement; Hydroelectric,,/objects/small/peers2015jordanriverdamworryrevisitedinsookenewsmirror_sm.jpg,/objects/thumbs/peers2015jordanriverdamworryrevisitedinsookenewsmirror_th.jpg,
peers2019jordanriverforestryacontrastindecadesinsookenewsmirror,jrhs_005,/objects/peers2019jordanriverforestryacontrastindecadesinsookenewsmirror.pdf,Jordan River forestry a contrast in decades,Elida Peers,Sooke News Mirror,2022-03-20,,application/pdf,News Article,pdf,Settlement; Forestry; Canadian Overseas Log and Lumber Ltd; Hydroelectric,,,,
peers2011jordanriverdrewattentionin1923insookenewsmirror,jrhs_006,/objects/peers2011jordanriverdrewattentionin1923insookenewsmirror.pdf,Jordan River drew attention in 1923,Elida Peers,Sooke News Mirror,2011-08-31,,application/pdf,News Article,pdf,Settlement; Hydroelectric;,,,,
times_colonist_1974_jrprison,jrhs_007,/objects/times_colonist_1974_jrprison.pdf,Jordan River Enthusiastic about Prison Camp,Max Low,Times Colonist,1974-12-21,,application/pdf,News Article,pdf,Settlement; Prison,,,,
welcometojrsign,jrhs_008,/objects/welcometojrsign.JPG,Welcome to Jordan River Sign,,,,,application/pdf,News Article,pdf,Settlement,,,,
officialcommunityplanforshirleyjordanriverbylawno,jrhs_009,/objects/officialcommunityplanforshirleyjordanriverbylawno.pdf,Shirley - Jordan River Official Community Plan,,Shirley/Jordan River Advisory Planning Commission,2016,,application/pdf,Plan,pdf,Settlement; Regional Planning; First Nations; Transportation; Water; Environment; Adaptation; Environmental Planning,,,,
blissspring,jrhs_011,/objects/blissspring.pdf,Bliss Spring,,,2019-02-14,,application/pdf,News Article,pdf,Water Spring; Settlement,,,,
campbell2015thenauticapediatugsandbargestoandfromjordanriverbc,jrhs_012,/objects/campbell2015thenauticapediatugsandbargestoandfromjordanriverbc.pdf,Tugs and Barges To and From Jordan River BC,Arnie Campbell,,2015,,application/pdf,News Article,pdf,Historic Transportation; Settlement,,,,
ilkayaltdevplan,jrhs_013,/objects/ilkayaltdevplan.pdf,Developer’s alternate vision for Jordan River designed with public in mind,Ender Ilkay,,2008-04-18,,application/pdf,News Article,pdf,Settlement; Development; ,,,,
,,,,,,,,,,,,,,,
golderassociates2007hydrgeologicalassessmentandwaterqualityofthewoodwastelandfillsite,jrhea_001,/objects/golderassociates2007hydrgeologicalassessmentandwaterqualityofthewoodwastelandfillsite.pdf,"Hydrogeologic Assessment and Water Quality Monitoring of the Wood Waste Landfill Site, Jordan River, British Columbia",Golder Associates,Golder Associates,2007-12-12,,application/pdf,Report,pdf,Environmental Assessment; Landfill; Woodwaste; Water; Hydrogeology; Toxicity; Contamination; Pollution,,,,
golderassociates2008phase1environmenalsiteassessmentilkaydevel,jrhea_002,/objects/golderassociates2008phase1environmenalsiteassessmentilkaydevel.pdf,"PHASE I ENVIRONMENTAL SITE ASSESSMENT JORDAN RIVER GROUP SOUTHERN VANCOUVER ISLAND WFP LANDS JORDAN RIVER, BC",Golder Associates,Golder Associates,2008-08-24,,application/pdf,Report,pdf,Environmental Assessment; Landfill; Woodwaste; Water; Hydrogeology; Toxicity; Contamination; Pollution,,,,
ilkaydevelopmentcorp2008developersaltermatevisionforjr,jrhea_003,/objects/ilkaydevelopmentcorp2008developersaltermatevisionforjr.pdf,Developer’s alternate vision for Jordan River designed with public in mind,Ender Ilkay,,2008-08-18,,application/pdf,,pdf,Development Plan,"Plan for property on Island’s south coast provides access to beaches and
thousands of acres of green space",,,
keystoneenvironmental2011bcpreapproval,jrhea_004,/objects/keystoneenvironmental2011bcpreapproval.pdf,Response to MOE E-mail RE: Request for Preapprovals under Protocol 6 for Jordan River sites,Stefan Quaglia,Keystone Environmental Ltd.,2011-10-28,,application/pdf,Email,pdf,Zinc; Ecology; Pollution Exposure; Food Chain; Toxicity Testing; ,,,,
keystoneenvironmental2012appendixkwoodwastelandfill,jrhea_005,/objects/keystoneenvironmental2012appendixkwoodwastelandfill.pdf,"TABLES, DATA, AND PERMITS RELATED TO APEC JRG2-01 WOOD WASTE LANDFILL",,Keystone Environmental Ltd.,,,application/pdf,Report,pdf,Environmental Assesment; Landfill; Woodwaste; Water; Toxicity; Contamination; Pollution,,,,
keystoneenvironmental2012reportoffindingswfp,jrhea_006,/objects/keystoneenvironmental2012reportoffindingswfp.pdf,Report of Findings – Preliminary Site Investigation,Michael Geraghty,Keystone Environmental Ltd.,2012-20-06,,application/pdf,Report,pdf,Environmental Assessment; Landfill; Woodwaste; Water; Toxicity; Contamination; Pollution,,,,
keystoneenvironmental2012summaryofsitecondition,jrhea_007,/objects/keystoneenvironmental2012summaryofsitecondition.pdf,Summary of Site Condition,,Keystone Environmental Ltd.,2012-11-23,,application/pdf,Report,pdf,Environmental Assessment; Landfill; Woodwaste; Water; Hydrogeology; Toxicity; Contamination; Pollution,,,,
keystoneenvironmental2014treatmentofwoodwastejordanriverpowerpoint,jrhea_008,/objects/keystoneenvironmental2014treatmentofwoodwastejordanriverpowerpoint.pdf,Treatment of Wood Waste Landfill Leachate Using Engineered Wetlands,"Richard Johns, Antonia Gunardi,",Keystone Environmental Ltd.,,,application/pdf,Report,pdf,Wood Waste Landfill; Remediation; Engineered Wetland,,,,
,,,,,,,,,,,,,/objects/small/_sm.jpg,/objects/thumbs/_th.jpg,
1978_sunishine_coastnews_1-4_bchydro_hearing_for_using_24D_chemical_to_spray_right_away,jrnphhp_001,/objects/1978_sunishine_coastnews_1-4_bchydro_hearing_for_using_24D_chemical_to_spray_right_away.pdf,Dow Chemical Here to Defend Spraying,Ian Corrance,The Sunshine Coast News,1978-05-16,,application/pdf,news article,pdf,Dow Chemicals; Herbicides; Hydroelectric; ,,/objects/small/1978_sunishine_coastnews_1-4_bchydro_hearing_for_using_24D_chemical_to_spray_right_away_sm.jpg,/objects/thumbs/1978_sunishine_coastnews_1-4_bchydro_hearing_for_using_24D_chemical_to_spray_right_away_th.jpg,
1980_sunchine_coast_23_3_hydro_employee_charged_for_misleading)_the_public_about_pesticide_control_act_sparying_bt_ jr_and_sooke,jrnphhp_002,/objects/(1980_sunchine_coast_23_3_hydro_employee_charged_for_misleading)_the_public_about_pesticide_control_act_sparying_bt_ jr_and_sooke.pdf,Wildlife Corner,Ian Corrance,The Sunshine Coast News,1980-11-11,,application/pdf,news article,pdf,Dow Chemicals; Herbicides; Hydroelectric,,/objects/small/1980_sunchine_coast_23_3_hydro_employee_charged_for_misleading)_the_public_about_pesticide_control_act_sparying_bt_ jr_and_sooke_sm.jpg,/objects/thumbs/1980_sunchine_coast_23_3_hydro_employee_charged_for_misleading)_the_public_about_pesticide_control_act_sparying_bt_ jr_and_sooke_th.jpg,
tc_1979_bc_ hydro_staff_queried_on_poison_control,jrnphhp_003,/objects/tc_1979_bc_ hydro_staff_queried_on_poison_control.pdf,Hydro staff queried on poison control,Times Colonist,Times Colonist,1979-06-28,,application/pdf,news article,pdf,BC Hydro; Tordon 10K;  Herbicides; Hydroelectric,,/objects/small/tc_1979_bc_ hydro_staff_queried_on_poison_control_sm.jpg,/objects/thumbs/tc_1979_bc_ hydro_staff_queried_on_poison_control_th.jpg,
tc_1980_hydro_24d_draws_sooke_protest,jrnphhp_004,/objects/tc_1980_hydro_24d_draws_sooke_protest.pdf,Hydro 24D draws Sooke protest,Brenda Dalglish,Times Colonist,1980-05-08,,application/pdf,news article,pdf,"BC Hydro; Herbicides;2,4-D; Pesticides; Hydroelectric; Protest; Sooke; First Nations",,/objects/small/tc_1980_hydro_24d_draws_sooke_protest_sm.jpg,/objects/thumbs/tc_1980_hydro_24d_draws_sooke_protest_th.jpg,
tc_1980_hydro_backs_off_on_24d_ plans,jrnphhp_005,/objects/tc_1980_hydro_backs_off_on_24d_ plans.pdf,"Hydro backs off on 2,4-D Plans",Brenda Dalglish,Times Colonist,1980-06-10,,application/pdf,news article,pdf,"BC Hydro; Herbicides;2,4-D; Pesticides; Hydroelectric; Protest; Sooke; First Nations",,/objects/small/tc_1980_hydro_backs_off_on_24d_ plans_sm.jpg,/objects/thumbs/tc_1980_hydro_backs_off_on_24d_ plans_th.jpg,
